from,to,count
AIGBR461,AIGBR461,221
AIGBR461,AIGBR608,0
AIGBR461,AIGBR659,0
AIGBR461,AIGBR1713,0
AIGBR461,AIGBR171,0
AIGBR461,AIGBR1195,0
AIGBR461,AIGBR638,0
AIGBR461,AIGBR321,0
AIGBR461,AIGBR674,0
AIGBR461,AIGBR2243,0
AIGBR461,AIGBR2007,0
AIGBR461,AIGBR2113,0
AIGBR461,AIGBR320,0
AIGBR461,AIGBR465,0
AIGBR461,AIGBR1063,0
AIGBR461,AIGBR1281,0
AIGBR461,AIGBR371,0
AIGBR461,AIGBR2095,0
AIGBR461,AIGBR1194,0
AIGBR461,AIGBR646,0
AIGBR461,AIGBR1548,0
AIGBR461,AIGBR1147,0
AIGBR461,AIGBR2029,0
AIGBR461,AIGBR218,0
AIGBR461,AIGBR1043,0
AIGBR461,AIGBR981,0
AIGBR461,AIGBR908,0
AIGBR461,AIGBR1042,227
AIGBR461,AIGBR1969,0
AIGBR461,AIGBR272,0
AIGBR461,AIGBR1102,0
AIGBR461,AIGBR390,0
AIGBR461,AIGBR548,0
AIGBR461,AIGBR133,0
AIGBR461,AIGBR43,0
AIGBR461,AIGBR1104,0
AIGBR461,AIGBR1085,0
AIGBR461,AIGBR939,0
AIGBR461,AIGBR1398,0
AIGBR461,AIGBR439,0
AIGBR461,AIGBR184,0
AIGBR461,AIGBR324,0
AIGBR461,AIGBR1439,0
AIGBR461,AIGBR1676,0
AIGBR461,AIGBR492,0
AIGBR461,AIGBR2116,2
AIGBR461,AIGBR2004,0
AIGBR461,AIGBR1655,0
AIGBR461,AIGBR805,0
AIGBR461,AIGBR2074,0
AIGBR461,AIGBR1978,0
AIGBR461,AIGBR593,0
AIGBR461,AIGBR1895,0
AIGBR461,AIGBR185,0
AIGBR461,AIGBR1113,0
AIGBR461,AIGBR1514,0
AIGBR461,AIGBR708,0
AIGBR461,AIGBR36,0
AIGBR461,AIGBR1146,0
AIGBR461,AIGBR1989,216
AIGBR461,AIGBR2021,0
AIGBR461,AIGBR799,0
AIGBR461,AIGBR1765,0
AIGBR461,AIGBR2032,0
AIGBR461,AIGBR1252,25
AIGBR461,AIGBR1059,0
AIGBR461,AIGBR2025,0
AIGBR461,AIGBR1179,0
AIGBR461,AIGBR2242,0
AIGBR461,AIGBR1924,0
AIGBR461,AIGBR2121,0
AIGBR461,AIGBR1449,0
AIGBR461,AIGBR1501,0
AIGBR461,AIGBR1938,0
AIGBR461,AIGBR1060,0
AIGBR461,AIGBR1005,0
AIGBR461,AIGBR1407,0
AIGBR461,AIGBR46,0
AIGBR461,AIGBR909,0
AIGBR461,AIGBR889,0
AIGBR461,AIGBR1383,0
AIGBR461,AIGBR455,0
AIGBR461,AIGBR689,35
AIGBR461,AIGBR829,0
AIGBR461,AIGBR1767,0
AIGBR461,AIGBR1851,0
AIGBR461,AIGBR1142,0
AIGBR461,AIGBR1208,3
AIGBR461,AIGBR1360,0
AIGBR461,AIGBR941,0
AIGBR461,AIGBR2231,0
AIGBR461,AIGBR1541,0
AIGBR461,AIGBR1445,0
AIGBR461,AIGBR1808,0
AIGBR461,AIGBR1231,0
AIGBR461,AIGBR590,0
AIGBR461,AIGBR506,2
AIGBR461,AIGBR1074,0
AIGBR461,AIGBR1719,4
AIGBR461,AIGBR421,0
AIGBR461,AIGBR1598,157
AIGBR461,AIGBR1743,0
AIGBR461,AIGBR1107,0
AIGBR461,AIGBR1777,0
AIGBR461,AIGBR859,0
AIGBR461,AIGBR2165,45
AIGBR461,AIGBR2213,0
AIGBR461,AIGBR1747,0
AIGBR461,AIGBR1980,0
AIGBR461,AIGBR40,0
AIGBR461,AIGBR1710,0
AIGBR461,AIGBR1197,0
AIGBR461,AIGBR1770,2
AIGBR461,AIGBR425,0
AIGBR461,AIGBR448,0
AIGBR461,AIGBR158,0
AIGBR461,AIGBR1659,0
AIGBR461,AIGBR2049,0
AIGBR461,AIGBR1887,0
AIGBR461,AIGBR2240,0
AIGBR461,AIGBR1161,0
AIGBR461,AIGBR1953,0
AIGBR461,AIGBR491,0
AIGBR461,AIGBR1053,0
AIGBR608,AIGBR461,0
AIGBR608,AIGBR608,189
AIGBR608,AIGBR659,0
AIGBR608,AIGBR1713,0
AIGBR608,AIGBR171,0
AIGBR608,AIGBR1195,0
AIGBR608,AIGBR638,0
AIGBR608,AIGBR321,0
AIGBR608,AIGBR674,0
AIGBR608,AIGBR2243,4
AIGBR608,AIGBR2007,5
AIGBR608,AIGBR2113,0
