scientificName,year,count
Alcyonium digitatum,2005,6
Alcyonium digitatum,2006,22
Alcyonium digitatum,2007,6
Alcyonium digitatum,2008,25
Alcyonium digitatum,2009,4
Alcyonium digitatum,2010,2
Alcyonium digitatum,2011,3
Alcyonium digitatum,2012,8
Alcyonium digitatum,2013,4
Alcyonium digitatum,2014,22
Alcyonium digitatum,2015,1
Alcyonium digitatum,2016,3
Alcyonium digitatum,2017,10
Alcyonium digitatum,2018,7
Alcyonium digitatum,2019,2
Axinella dissimilis,2005,20
Axinella dissimilis,2006,6
Axinella dissimilis,2007,32
Axinella dissimilis,2008,53
Axinella dissimilis,2009,36
Axinella dissimilis,2010,4
Axinella dissimilis,2011,2
Axinella dissimilis,2012,19
Axinella dissimilis,2013,27
Axinella dissimilis,2014,280
Axinella dissimilis,2015,40
Axinella dissimilis,2016,17
Axinella dissimilis,2017,26
Axinella dissimilis,2018,11
Axinella dissimilis,2019,4
Axinella infundibuliformis,2005,8
Axinella infundibuliformis,2006,4
Axinella infundibuliformis,2007,14
Axinella infundibuliformis,2008,18
Axinella infundibuliformis,2009,10
Axinella infundibuliformis,2012,8
Axinella infundibuliformis,2013,2
Axinella infundibuliformis,2014,13
Axinella infundibuliformis,2015,6
Axinella infundibuliformis,2017,2
Eunicella verrucosa,2000,4
Eunicella verrucosa,2001,12
Eunicella verrucosa,2005,32
Eunicella verrucosa,2006,12
Eunicella verrucosa,2007,44
Eunicella verrucosa,2008,39
Eunicella verrucosa,2009,40
Eunicella verrucosa,2010,256
Eunicella verrucosa,2011,6
Eunicella verrucosa,2012,18
Eunicella verrucosa,2013,30
Eunicella verrucosa,2014,98
Eunicella verrucosa,2015,40
Eunicella verrucosa,2016,15
Eunicella verrucosa,2017,18
Eunicella verrucosa,2018,9
Eunicella verrucosa,2019,2
Halichoerus grypus,2003,2
Halichoerus grypus,2006,8
Halichoerus grypus,2011,4
Halichoerus grypus,2013,683
Halichoerus grypus,2014,6
Halichoerus grypus,2022,8
Halichoerus grypus,2023,10
Palinurus elephas,2009,2
Phocoena phocoena,2006,52
Phocoena phocoena,2007,44
Phocoena phocoena,2008,4
Phocoena phocoena,2009,4
Phocoena phocoena,2010,2
Phocoena phocoena,2011,28
Phocoena phocoena,2012,32
Phocoena phocoena,2013,18
Phocoena phocoena,2014,14
Phocoena phocoena,2015,46
Phocoena phocoena,2016,18
Phocoena phocoena,2018,26
Phocoena phocoena,2019,26
Phocoena phocoena,2020,21
Phocoena phocoena,2021,4
Phocoena phocoena,2022,47
Phocoena phocoena,2023,2
Phocoena phocoena,2024,6
Tursiops truncatus,2006,2
Tursiops truncatus,2007,6
Tursiops truncatus,2009,4
Tursiops truncatus,2016,2
